Capas Ocultas,Neuronas/Capa,Learning Rate,Batch Size,Epocas Reales,RMSE ($),MAE ($),R2 (Accuracy)
1,32,0.001,32,112,16568.74,11065.19,0.8814
1,64,0.001,32,109,17033.58,10611.64,0.8747
2,64,0.001,32,99,15603.03,10549.84,0.8949
2,128,0.001,32,86,19653.01,11854.84,0.8332
3,64,0.001,32,100,18172.33,10977.23,0.8574
3,128,0.001,32,80,18205.72,10721.04,0.8569
2,64,0.01,32,61,18841.49,11373.07,0.8467
2,64,0.0001,32,168,17297.7,12438.71,0.8708
2,64,0.001,16,89,16885.28,11139.8,0.8769
2,64,0.001,64,152,15997.68,10451.07,0.8895
